"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"120","29",32890,38560,0.359965465173855,-0.622027226181299,"aug",0,1,71.3382381431957,32961.3382381432,5598.66176185681
"121","30",32160,38670,-0.297769731093998,-0.433966693222418,"aug",0,1,71.2223727406732,32231.2223727407,6438.77762725933
"122","306",32150,39270,-0.306779802275747,0.591818032007849,"aug",0,1,70.9715724204571,32220.9715724205,7049.02842757954
"123","307",31020,38410,-1.32491784581365,-0.878473407488874,"aug",0,1,66.2355995504477,31086.2355995504,7323.76440044955
"124","308",31490,39080,-0.901444500271336,0.26698620235159,"aug",0,1,71.2370990692483,31561.2370990692,7518.76290093075
"125","31",35670,40000,2.86476525370073,1.83985611437133,"aug",0,1,56.0267269617961,35726.0267269618,4273.9732730382
"126","317",31600,39070,-0.802333717272069,0.249889790264422,"aug",0,1,71.2547512701428,31671.2547512701,7398.74524872986
"127","318",31750,39040,-0.6671826495458,0.198600554002907,"aug",0,1,71.2854739649433,31821.2854739649,7218.71452603506
"128","319",32660,39470,0.15273382799357,0.933746273751263,"aug",0,1,67.5405383630137,32727.540538363,6742.45946163699
"129","32",33960,39410,1.32404308162125,0.831167801228232,"aug",0,1,66.3640717448142,34026.3640717448,5383.63592825519
"130","320",31900,38940,-0.532031581819531,0.0276364331311942,"aug",0,1,71.2603791884639,31971.2603791885,6968.73962081154
"131","329",31580,39030,-0.820353859635574,0.18150414191574,"aug",0,1,71.2348100955797,31651.2348100956,7378.76518990442
"132","330",32140,39110,-0.315789873457497,0.318275438613105,"aug",0,1,71.4169403488006,32211.4169403488,6898.5830596512
"133","331",31930,38730,-0.505001368274276,-0.3313882206994,"aug",0,1,71.2169683852475,32001.2169683852,6728.78303161475
"134","341",31460,38940,-0.928474713816588,0.0276364331311942,"aug",0,1,71.215672163128,31531.2156721631,7408.78432783687
"135","342",31370,38910,-1.00956535445235,-0.023652803130321,"aug",0,1,71.1882564580297,31441.188256458,7468.81174354197
